lat,lon,elevation_m,in_camp,unix_time,distance_from_camp_m
-3.837298,34.999355,1258,1,1474172610,9.40047
-3.837281,34.999344,1245,1,1474172615,11.6422
-3.837284333,34.999344,1246,1,1474172620,11.3324
-3.8373018,34.9993624,1246,1,1474172625,8.62055
-3.8373116,34.9993726,1248,1,1474172630,7.13893
-3.837313,34.999374,1248,1,1474172635,6.93301
-3.8373226,34.999374,1249,1,1474172640,5.98429
-3.8373274,34.9993836,1249,1,1474172645,5.05054
-3.8373296,34.999386,1249,1,1474172650,4.73024
-3.8373188,34.9993916,1249,1,1474172655,5.73795
-3.837308,34.999381,1249,1,1474172660,7.17328
-3.8373116,34.999378,1249,1,1474172665,6.9046
-3.8373146,34.999378,1249,1,1474172670,6.59538
-3.837335,34.999366,1249,1,1474172675,5.40739
-3.8373608,34.999351,1250,1,1474172680,5.53677
-3.837374,34.9993448,1250,1,1474172685,6.14708
-3.8373776,34.9993376,1250,1,1474172690,6.98163
-3.8373764,34.999336,1250,1,1474172695,7.14372
-3.837376,34.999336,1250,1,1474172700,7.13947
-3.8373792,34.9993328,1250,1,1474172705,7.53302
-3.837384,34.999332,1250,1,1474172710,7.70988
-3.837393667,34.99934,1251,1,1474172715,7.1597
-3.837402,34.999342,1251,1,1474172720,7.34996
-3.837410667,34.99934133,1251,1,1474172725,7.91718
-3.8374216,34.999344,1251,1,1474172730,8.44063
-3.8374286,34.9993432,1251,1,1474172735,9.04376
-3.8374284,34.9993392,1252,1,1474172740,9.34381
-3.8374184,34.9993346,1252,1,1474172745,9.02273
-3.83742,34.9993274,1252,1,1474172750,9.77715
-3.8374202,34.999321,1252,1,1474172755,10.383
-3.8374208,34.999321,1252,1,1474172760,10.4187
-3.8374196,34.9993218,1252,1,1474172765,10.2725
-3.837408,34.9993272,1252,1,1474172770,9.1126
-3.837361,34.9993444,1253,1,1474172775,6.25525
-3.8373394,34.9993796,1254,1,1474172780,4.07226
-3.8373662,34.9993822,1254,1,1474172785,2.02123
-3.8373714,34.999367,1254,1,1474172790,3.66863
-3.837375,34.9993654,1255,1,1474172795,3.88264
-3.837386,34.9993598,1255,1,1474172800,4.80282
-3.837399,34.999363,1255,1,1474172805,5.2127
-3.8374034,34.9993622,1256,1,1474172810,5.59175
-3.8374046,34.9993576,1256,1,1474172815,6.06767
-3.837403,34.999352,1256,1,1474172820,6.46062
-3.837399,34.9993526,1256,1,1474172825,6.1645
-3.8373824,34.9993612,1256,1,1474172830,4.52244
-3.837375167,34.9993955,1256,1,1474172835,0.759093
-3.837351,34.999443,1255,1,1474172840,5.21775
-3.837386,34.999504,1255,1,1474172845,11.6861
-3.837405,34.999535,1256,1,1474172850,15.4861
-3.837418,34.999569,1256,1,1474172855,19.5071
-3.837395,34.999565,1257,1,1474172860,18.5341
-3.837403,34.999569,1256,1,1474172865,19.1225
-3.837413,34.999573,1256,1,1474172870,19.7949
-3.837413,34.999573,1256,1,1474172875,19.7949
-3.837411,34.999573,1256,1,1474172880,19.743
-3.837413,34.999573,1256,1,1474172885,19.7949
-3.837415,34.999569,1256,1,1474172890,19.4194
-3.837415,34.999569,1256,1,1474172895,19.4194
-3.83742,34.999569,1256,1,1474172900,19.5684
-3.837425,34.999569,1256,1,1474172905,19.7317
-3.83743,34.999569,1256,1,1474172910,19.9091
-3.837435,34.999573,1256,1,1474172915,20.5156
-3.837436,34.999569,1256,1,1474172920,20.1399
-3.837436,34.999573,1256,1,1474172925,20.5546
-3.837435,34.999569,1256,1,1474172930,20.1001
-3.837433,34.999573,1256,1,1474172935,20.4392
-3.837435,34.999573,1256,1,1474172940,20.5156
-3.837433333,34.99957633,1256,1,1474172945,20.8
-3.8374314,34.999577,1256,1,1474172950,20.799
-3.837432333,34.999579,1256,1,1474172955,21.0427
-3.8374342,34.99958,1256,1,1474172960,21.2158
-3.8374356,34.99958,1256,1,1474172965,21.2681
-3.837436,34.99958,1256,1,1474172970,21.2832
-3.8374372,34.99958,1256,1,1474172975,21.3291
-3.837441,34.9995782,1256,1,1474172980,21.2931
-3.8374418,34.999577,1256,1,1474172985,21.2023
-3.837444,34.999577,1256,1,1474172990,21.2945
-3.8374502,34.999577,1256,1,1474172995,21.5673
-3.8374548,34.999577,1256,1,1474173000,21.7814
-3.8374584,34.999577,1256,1,1474173005,21.9557
-3.8374588,34.999577,1256,1,1474173010,21.9754
-3.837455,34.9995788,1256,1,1474173015,21.9714
-3.8374542,34.99958,1256,1,1474173020,22.0545
-3.8374568,34.9995782,1256,1,1474173025,21.9973
-3.837461,34.999577,1256,1,1474173030,22.0852
-3.837466,34.999577,1256,1,1474173035,22.3425
-3.8374692,34.9995746,1256,1,1474173040,22.2804
-3.83747,34.9995754,1256,1,1474173045,22.4013
-3.83747,34.999577,1256,1,1474173050,22.556
-3.8374736,34.9995746,1256,1,1474173055,22.5239
-3.8374772,34.999573,1256,1,1474173060,22.5775
-3.8374765,34.999575,1256,1,1474173065,22.7266
-3.8374742,34.9995754,1256,1,1474173070,22.6341
-3.8374702,34.999573,1256,1,1474173075,22.1809
-3.837464,34.999573,1256,1,1474173080,21.8465
-3.8374606,34.999573,1256,1,1474173085,21.6701
-3.8374612,34.9995714,1256,1,1474173090,21.5437
-3.8374642,34.9995658,1256,1,1474173095,21.1574
-3.8374656,34.999561,1256,1,1474173100,20.7734
-3.8374634,34.999561,1256,1,1474173105,20.6506
-3.8374598,34.9995626,1256,1,1474173110,20.61
-3.837456,34.9995666,1256,1,1474173115,20.805
-3.8374522,34.999569,1256,1,1474173120,20.8559
-3.8374506,34.9995706,1256,1,1474173125,20.9401
-3.8374484,34.999573,1256,1,1474173130,21.0804
-3.837446,34.999573,1256,1,1474173135,20.9727
-3.837446,34.999573,1256,1,1474173140,20.9727
-3.837446,34.999573,1256,1,1474173145,20.9727
-3.8374448,34.9995714,1256,1,1474173150,20.7568
-3.8374422,34.999569,1256,1,1474173155,20.3983
-3.8374426,34.999569,1256,1,1474173160,20.4157
-3.8374382,34.9995642,1256,1,1474173165,19.7356
-3.837426,34.9995558,1255,1,1474173170,18.3795
